what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1563972973387
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1563972973389
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1563972973390
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1563972973393
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1563972973395
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1563972973397
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1563972973399
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1563972973399
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1563972973400
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1563972973403
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1563972973404
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1563972973406
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1563972973410
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1563972973411
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1563972973413
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1563972973415
started,bundle,de.innot.avreclipse.core,2.4.2,"de.innot.avreclipse.core",1563972973417
os,sysinfo,,,"win32",1563972973424
arch,sysinfo,,,"x86",1563972973424
ws,sysinfo,,,"win32",1563972973424
locale,sysinfo,,,"en_US",1563972973424
processors,sysinfo,,,"2",1563972973424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1563972973424
java.runtime.version,sysinfo,,,"1.8.0_211-b12",1563972973424
java.specification.name,sysinfo,,,"Java Platform API Specification",1563972973424
java.specification.vendor,sysinfo,,,"Oracle Corporation",1563972973424
